Name,Link,Rating,Enroll,Instructor,Time,Level,Fee,Program,Subtitle,Subject,Organization,Knowledge,Programing Language,Tool,Platform,Framework,Knowledge_P,Programing Language_P,Tool_P,Platform_P,Framework_P
Develop and Launch Your First Website in Just One Day!,https://www.udemy.com/course/basic-web-crash-course/,3.9,1.244,Awesome Inc,3 hours on-demand video,,100,,English,Web Development,,"self-hosting, ftp, front-end web",,,,,,,,,
Web Development by Doing: Javascript,https://www.udemy.com/course/webdevbydoing-javascript-complete-and-practical/,4.7,1.268,Bradley Berger,5.5 hours on-demand video,,100,,English,Web Development,,front end development,,,,,,"html, css",,,
Website Design,https://www.udemy.com/course/create-a-website-in-5-minutes/,4.1,2.756,"Craig Blewett,Sarah Blewett",1.5 hours on-demand video,,100,,English,Web Design,,"web devlopment, search engine optimisation, website design, affiliate marketing, web development",,,,,,,,,
Become A Web Designer In Just 90 Minutes,https://www.udemy.com/course/web-design-intro-with-adobe-dreamweaver-photoshop-cs6/,3.7,1.446,Bonte Cristian,1.5 hours on-demand video,,100,,,Web Design,,internet,,,,,,,,,
Learn Microsoft Project For Software Development,https://www.udemy.com/course/learn-microsoft-project-for-software-development/,4.6,248,Infinite Skills,3.5 hours on-demand video,,100,,English,Microsoft,,software development,,,,,,,,,
Web Technology for Entrepreneurs,https://www.udemy.com/course/web-technology-for-entrepreneurs/,4.6,299,Alex Lee,1.5 hours on-demand video,,100,,English,Web Design,,"web applications, web technology, web application, web technologies",,,,,,,,,
Free WordPress Tutorial - Create Your First Website Super Easily,https://www.udemy.com/course/create-your-first-website-using-wordpress/,4.5,16.823,Steven Leconte,1hr,,100,,English,Web Design,,"hosting, domain name, website creation, customization module",,,,,,,,,
Responsive Web Design: Made Easy,https://www.udemy.com/course/responsive-web-design-made-easy/,4,5.141,EDUmobile Academy,6.5 hours on-demand video,,100,,English,Web Development,,"mobile design and development, mobile web, responsive web design, modern web development",,,,,,html,,,
Wordpress Sliders,https://www.udemy.com/course/website-sliders/,2.5,420,Brian Dale,1.5 hours on-demand video,,100,,English,Web Design,,website navigation,,,,,,,,,
Free WordPress Tutorial - Create a WordPress Website for Your Web Design Business,https://www.udemy.com/course/create-wordpress-website-for-your-web-design-business/,4.6,67.796,Christine Maisel,56min,,100,,English,Web Development,,web designer,,,,,,,,,
Web Application Security,https://www.udemy.com/course/web-application-security/,4,358,The Art Of Service,2.5 hours on-demand video,,100,,English,Network & Security,,"internet and web systems, was, application security, web applications, web application security, web application, network security",,,,,,,,,
"Video Compression for Web, Disc and PC/TV/Console Playback",https://www.udemy.com/course/compressing-video-for-web-disc-and-pctvconsole-playback/,4.5,455,Jan Ozer,9.5 hours on-demand video,,100,,English,Other IT & Software,,"encoding configurations, encoding recipes, audio compression, container formats, encoding parameters, streaming video, aspect ratio issues, deinterlacing, streaming, h.264, bitrate control, frame types",,,,,,,,,
Free SEO Tutorial - Learn SEO For Wordpress Websites,https://www.udemy.com/course/learn-seo-for-wordpress-websites/,3.6,43.625,"Eduonix Learning Solutions,Eduonix-Tech .",2hr 45min,,100,,English,Web Development,,"seo, search rankings",,,,,,,,,
Code a Responsive Website Using HTML5 and CSS for Beginners,https://www.udemy.com/course/how-to-code-a-responsive-website-using-html5-and-css/,4.2,2.207,Paul Cheney,7 hours on-demand video,,100,,English,Web Development,,web design,,,,,,,,,
Become a Professional Web Developer | Version 3.0,https://www.udemy.com/course/web-development-tutorials/,4.5,7.465,Stone River eLearning,,,100,,English,Web Development,,"responsive web design, web development, json, ajax ",,,,,,,,,
"Ajax, jQuery and JSON for Beginning Web Developers",https://www.udemy.com/course/ajax-jquery-and-json-for-beginning-web-developers/,4,851,Stone River eLearning,3 hours on-demand video,,100,,English,Web Development,,"json, ajax",,,,,,,,,
Mastering Photoshop For Web Design,https://www.udemy.com/course/mastering-photoshop-for-web-design/,4.2,109,QScutter Tutorials,,,100,,English,Design Tools,,web design,,,,,,,adobe photoshop,,
Create Multilingual Websites using Wordpress,https://www.udemy.com/course/multilingual-website-wordpress/,3.9,1.234,Braulio Patricio,1.5 hours on-demand video,,100,,English,Web Design,,"network administration, content management system",,,,,,,,,
Web Application Development - Learn by Building 3 Web Apps,https://www.udemy.com/course/build-3-web-applications-in-90-minutes/,3.7,1.729,Akshay Nagpal,1 hour on-demand video,,100,,English,Web Development,,"web application development, web development, web programming, e-commerce",,,,,,"html, css",,,
HTML5 - Background Processes with Web Workers in Depth,https://www.udemy.com/course/html5-background-processes-with-web-workers-in-depth/,3,139,QScutter Tutorials,1 hour on-demand video,,100,,,Web Development,,"event handling, api, web worker api, callbacks, web workers development, web worker, background processes",,,,,,,,,
